Nombre,Tiempo de Aprendizaje,Transferencia de la formacion,Retencion de conocimiento y habilidades,Impacto del rendimiento en la organizacion,Nota de evaluacion
Chelsae Grzelak,1 mes,Promedio,Muy Alta,Promedio,86
Papagena Bulfoot,4 meses,Muy baja,Muy Alta,Baja,17
Noble Patey,2 meses,Alta,Muy baja,Alta,37
Floyd Caudle,2 meses,Muy baja,Muy Alta,Alta,15
Maris Manterfield,4 meses,Muy baja,Promedio,Muy baja,21
Mead Mation,2 meses,Baja,Muy baja,Promedio,10
Arch Aronstam,3 meses,Baja,Alta,Muy baja,84
Nissa Sawley,4 meses,Alta,Muy baja,Alta,20
Lilli Seers,4 meses,Muy baja,Muy Alta,Alta,22
Darn Dearden,4 meses,Muy Alta,Promedio,Baja,21
Norene Petegree,1 mes,Muy Alta,Alta,Muy Alta,1
Pen Beetlestone,1 mes,Muy Alta,Muy baja,Muy baja,4
Berne Loidl,1 mes,Alta,Alta,Baja,41
Ashely Blackeby,4 meses,Promedio,Muy Alta,Baja,45
Rebekkah Krystof,1 mes,Alta,Muy Alta,Alta,86
Aprilette Earengey,4 meses,Baja,Alta,Muy baja,18
Claudelle Lambrook,1 mes,Muy baja,Muy baja,Muy Alta,10
Antonia Juza,4 meses,Alta,Promedio,Muy Alta,4
Herminia Lots,3 meses,Alta,Muy Alta,Promedio,17
Michail Kilian,1 mes,Muy baja,Baja,Muy Alta,40
Sula Hollow,2 meses,Muy Alta,Promedio,Baja,57
Tonia Ransfield,3 meses,Muy baja,Alta,Baja,52
Salli Ismay,2 meses,Promedio,Promedio,Alta,93
Scarlett Choake,3 meses,Muy Alta,Promedio,Baja,4
Leonhard Willgress,1 mes,Muy Alta,Alta,Muy baja,38
Farah Shorie,2 meses,Muy baja,Muy baja,Promedio,51
Paten Lisciandro,2 meses,Muy Alta,Muy Alta,Muy Alta,30
Holli Clorley,1 mes,Muy baja,Alta,Promedio,59
Goldy Leppington,3 meses,Alta,Alta,Muy baja,68
Yovonnda Cran,1 mes,Muy baja,Alta,Alta,1
Christoforo Nathan,2 meses,Muy baja,Baja,Alta,63
Clemmie Ekins,3 meses,Baja,Baja,Muy baja,52
Eldredge Birdsey,1 mes,Muy baja,Baja,Muy Alta,14
Lorilyn Week,2 meses,Muy baja,Alta,Baja,37
Cedric Segrave,3 meses,Muy Alta,Muy baja,Muy Alta,75
Sidnee Carson,1 mes,Muy Alta,Baja,Muy Alta,91
Alix Pengilly,2 meses,Baja,Muy baja,Promedio,73
Donal Oxtaby,1 mes,Alta,Baja,Baja,97
Caresa Morgon,1 mes,Muy baja,Muy Alta,Baja,92
Silvia Tremontana,3 meses,Promedio,Muy Alta,Promedio,37
Demetri Rookes,3 meses,Muy baja,Muy baja,Muy Alta,70
Gloriana Parrish,3 meses,Muy Alta,Baja,Baja,69
Arie Shekle,3 meses,Alta,Baja,Baja,85
Mattie Stathor,3 meses,Muy Alta,Baja,Alta,65
Harper Piecha,2 meses,Promedio,Alta,Muy Alta,12
Gertruda Wyson,3 meses,Alta,Baja,Muy Alta,26
Casi Delong,3 meses,Baja,Muy Alta,Muy baja,93
Carlynne Peert,4 meses,Muy Alta,Alta,Alta,63
Tobe Neagle,1 mes,Muy baja,Promedio,Alta,69
Sigismond Eyer,2 meses,Alta,Muy Alta,Muy Alta,78
Paloma Botright,2 meses,Muy Alta,Alta,Alta,82
Cory Doram,4 meses,Alta,Promedio,Alta,28
Harmonie Hagland,3 meses,Baja,Alta,Muy Alta,46
Neall Hudleston,4 meses,Promedio,Baja,Alta,36
Agatha Olliar,2 meses,Alta,Baja,Promedio,98
Ferdy Potell,2 meses,Promedio,Muy baja,Alta,98
Anica Jezzard,2 meses,Alta,Muy Alta,Promedio,44
Alison Cliss,4 meses,Muy Alta,Baja,Promedio,89
Christel Shooter,2 meses,Promedio,Baja,Promedio,68
Bernelle Ostridge,1 mes,Muy baja,Promedio,Muy Alta,35
Barrie Penna,2 meses,Muy baja,Alta,Muy Alta,28
Selestina Poyner,3 meses,Promedio,Muy Alta,Promedio,64
Munmro Jeeks,4 meses,Alta,Muy baja,Alta,7
Ker Tellwright,1 mes,Baja,Muy Alta,Promedio,88
Crichton Hoston,1 mes,Muy baja,Promedio,Baja,16
Nola Davidi,1 mes,Alta,Baja,Muy baja,15
Adham Allridge,4 meses,Muy Alta,Promedio,Muy Alta,3
Yorke Blune,1 mes,Muy baja,Muy baja,Promedio,52
Jennette Mayers,3 meses,Alta,Baja,Muy Alta,18
Hercule Meynell,1 mes,Baja,Promedio,Muy Alta,97
Suzanne Tearny,1 mes,Muy Alta,Baja,Promedio,25
Germaine Drife,2 meses,Muy Alta,Alta,Promedio,58
Ash Bemlott,3 meses,Muy Alta,Alta,Alta,45
Quincey Duce,4 meses,Muy Alta,Promedio,Baja,81
Gwendolyn Winspur,4 meses,Baja,Muy Alta,Muy Alta,13
Toma Torel,2 meses,Muy Alta,Promedio,Muy baja,4
Sharlene Farlham,4 meses,Muy baja,Baja,Muy Alta,69
Emlyn Crocetto,2 meses,Promedio,Baja,Muy baja,61
Rainer Emberton,1 mes,Alta,Muy Alta,Muy baja,86
Selle Harber,4 meses,Alta,Baja,Alta,91
Jeana Ropkes,1 mes,Muy Alta,Muy Alta,Baja,74
Uta Nuzzti,4 meses,Muy Alta,Baja,Muy Alta,66
Shellysheldon Welbeck,1 mes,Promedio,Baja,Baja,21
Danika Garshore,3 meses,Muy Alta,Baja,Muy baja,98
Willamina Allston,3 meses,Alta,Promedio,Baja,11
Perl Leopold,4 meses,Alta,Muy baja,Promedio,57
Bartlett Fricker,1 mes,Alta,Alta,Promedio,82
Kerk Bussen,4 meses,Baja,Promedio,Muy Alta,44
Eva Hugenin,2 meses,Alta,Alta,Muy Alta,83
Cassie Bollon,1 mes,Alta,Promedio,Muy baja,37
Flory Georgius,4 meses,Muy Alta,Muy baja,Alta,34
Kellyann Josephy,3 meses,Promedio,Baja,Muy Alta,8
Lilith Beek,2 meses,Alta,Alta,Alta,10
Lilllie Henken,3 meses,Muy baja,Muy Alta,Alta,43
Gregoire Ghidoli,3 meses,Muy baja,Alta,Baja,99
Worden Rowcastle,2 meses,Promedio,Promedio,Muy Alta,62
Benetta Pizer,4 meses,Promedio,Promedio,Muy baja,72
Gary Felderer,1 mes,Muy baja,Muy Alta,Promedio,62
Guillemette Gilligan,3 meses,Baja,Muy baja,Alta,12
Karlie Stilling,4 meses,Baja,Muy Alta,Baja,20
Charlotte Ingry,2 meses,Alta,Promedio,Muy Alta,92
Georges Marmyon,1 mes,Muy Alta,Muy baja,Promedio,5
Arabela Keary,1 mes,Muy baja,Baja,Muy baja,54
Mal Mohun,1 mes,Alta,Alta,Muy Alta,69
Brian Cornils,2 meses,Promedio,Alta,Baja,78
Earl Mossman,4 meses,Baja,Promedio,Promedio,29
Susan Threlkeld,1 mes,Muy baja,Muy Alta,Muy Alta,43
Fiona Feeny,1 mes,Baja,Alta,Baja,15
Roxine Trevance,2 meses,Muy baja,Muy Alta,Muy Alta,8
Chaim Doornbos,3 meses,Alta,Baja,Promedio,86
Lindsy Brangan,3 meses,Muy Alta,Baja,Promedio,50
Feliza Marcombe,3 meses,Muy Alta,Promedio,Muy Alta,32
Lorne Jahncke,4 meses,Promedio,Promedio,Muy baja,38
Aldis Hurren,3 meses,Muy baja,Promedio,Muy baja,77
Ian Chasmar,3 meses,Muy baja,Baja,Baja,45
Clareta Templman,4 meses,Alta,Muy baja,Baja,48
Rollin Leuty,3 meses,Alta,Muy Alta,Baja,77
Brock Tiron,3 meses,Alta,Alta,Alta,50
Gilli Jaegar,4 meses,Promedio,Promedio,Alta,62
Carlynne Schuh,1 mes,Alta,Muy baja,Baja,33
Rey Tschiersch,2 meses,Muy Alta,Muy Alta,Promedio,89
Alverta Poundsford,2 meses,Muy Alta,Muy baja,Promedio,86
Tatiania Walkden,3 meses,Alta,Alta,Alta,65
Aubry Bambridge,3 meses,Muy baja,Baja,Muy baja,54
Pren Veck,1 mes,Alta,Baja,Muy baja,5
Alwyn Ruprechter,3 meses,Muy baja,Promedio,Muy baja,44
